layer_slot,layer_id,cos_correct,cos_wrong,var_correct,var_wrong,pca1_correct,pca1_wrong
0,1,0.9471536916830847,0.8912927293819739,28.798259735107422,66.44537353515625,0.9267198443412781,0.43704211711883545
1,2,0.9583850746914264,0.9020304885422085,45.19586944580078,111.29107666015625,0.7940313220024109,0.3995203375816345
2,3,0.9485483644229751,0.8801081931707284,70.50489807128906,171.73667907714844,0.7330784797668457,0.3883655369281769
3,4,0.9377958584697016,0.8590097308211716,106.23101806640625,251.03793334960938,0.645902156829834,0.36946356296539307
4,5,0.9331659680653003,0.8461084168483602,163.71847534179688,383.84228515625,0.5788002610206604,0.38349536061286926
5,6,0.9413422054100421,0.8611375041411701,147.23904418945312,357.4123229980469,0.5806640386581421,0.3846381902694702
6,7,0.9516297405765902,0.8802947033962882,160.50833129882812,394.77459716796875,0.6515073180198669,0.39006927609443665
7,8,0.9548035251998133,0.8806201010044162,175.77886962890625,447.174560546875,0.6831077933311462,0.4018253982067108
8,9,0.9528060526617111,0.8733213825798627,183.6973419189453,484.7019348144531,0.7026770710945129,0.40938714146614075
9,10,0.9502024318902723,0.862396340605849,215.43589782714844,579.829833984375,0.6604092121124268,0.4295694828033447
10,11,0.9550276070592865,0.8698114370464856,225.60308837890625,630.14453125,0.6330587267875671,0.43851548433303833
11,12,0.9594664936584811,0.8747794163935151,244.52655029296875,735.530517578125,0.6241629123687744,0.4602372646331787
12,13,0.9623082238099268,0.8833474139055462,251.58767700195312,750.7691650390625,0.6300673484802246,0.4579143524169922
13,14,0.9633744643820871,0.8742784778488443,296.2732238769531,960.8470458984375,0.5950490236282349,0.4995787441730499
14,15,0.9591855680750262,0.8653635849766698,315.67529296875,1024.5159912109375,0.5964719653129578,0.48824962973594666
15,16,0.9642320328181789,0.8685689142092745,352.6494140625,1233.3758544921875,0.5592083930969238,0.5293168425559998
16,17,0.9661729318961021,0.872552400732294,383.5472412109375,1355.74072265625,0.5731651186943054,0.5344011783599854
17,18,0.9647830363002515,0.8683253207792204,486.7731628417969,1639.316650390625,0.5543157458305359,0.5415992140769958
18,19,0.9695893988734291,0.8700918470185699,599.023681640625,2201.37109375,0.550565779209137,0.5759650468826294
19,20,0.9700453071103942,0.8656590501150341,677.1964111328125,2715.24609375,0.5206512808799744,0.5810403823852539
20,21,0.9733548570544489,0.8743776679831616,728.95751953125,3061.216796875,0.5151264071464539,0.5852762460708618
21,22,0.978322840746372,0.8954905804167402,907.51904296875,3996.636962890625,0.5034686923027039,0.5795173048973083
22,23,0.9782641795614073,0.8939773839046347,1209.98583984375,5525.7080078125,0.5582845211029053,0.5855075716972351
23,24,0.9781583606475784,0.8987567823723699,1518.287353515625,6597.9384765625,0.5616694688796997,0.5736146569252014
24,25,0.9829399491990766,0.9254881044757282,2161.3046875,8678.7119140625,0.5530800819396973,0.5478744506835938
25,26,0.9810261883802952,0.9222397018514626,2577.015869140625,10545.115234375,0.5482546091079712,0.5517504215240479
26,27,0.984128738362943,0.9332665997088379,3317.3134765625,13211.87890625,0.5506502985954285,0.5451805591583252
27,28,0.9434853550647536,0.8507528938617267,298.32611083984375,978.3861083984375,0.6839839220046997,0.562250554561615
