layer_slot,layer_id,cos_correct,cos_wrong,var_correct,var_wrong,pca1_correct,pca1_wrong
0,1,0.9512614602870769,0.7048649390538534,27.02651596069336,167.59805297851562,0.47291243076324463,0.7153958082199097
1,2,0.9512616897918083,0.7556661069393158,52.29479217529297,260.23699951171875,0.4187586307525635,0.7082841396331787
2,3,0.9354080823520282,0.6760405401388804,86.52418518066406,439.58892822265625,0.4346145689487457,0.722419261932373
3,4,0.9237833274914338,0.63375656803449,130.910888671875,628.746826171875,0.4179498553276062,0.7162549495697021
4,5,0.9222662993809124,0.6040604611237844,178.5330352783203,879.3890380859375,0.38934996724128723,0.7385422587394714
5,6,0.9272002906412692,0.6114412546157837,168.2509002685547,860.90625,0.3871079385280609,0.7447264790534973
6,7,0.9352131298103848,0.6343205372492472,182.9476318359375,963.727294921875,0.38906368613243103,0.7583102583885193
7,8,0.9352497679693205,0.6293079555034637,214.31521606445312,1162.625,0.38345733284950256,0.7647266387939453
8,9,0.9369613590111604,0.6179393927256266,227.64547729492188,1241.5750732421875,0.38677892088890076,0.7454892992973328
9,10,0.9381809109288293,0.6081456243991852,249.83843994140625,1469.302490234375,0.3856847584247589,0.7687217593193054
10,11,0.9422279916582881,0.6444350183010101,268.2897644042969,1599.2861328125,0.38625115156173706,0.7713974118232727
11,12,0.944120539340887,0.6390912532806396,310.27166748046875,1949.1593017578125,0.3962724506855011,0.7846969366073608
12,13,0.9455436580460351,0.6513433158397675,333.0497131347656,2093.42724609375,0.39143186807632446,0.788358747959137
13,14,0.9450373467239174,0.6490103602409363,392.64385986328125,2451.361083984375,0.3976448178291321,0.7957298159599304
14,15,0.9438917129855973,0.5952574213345846,400.69781494140625,2824.268310546875,0.40437614917755127,0.8128207325935364
15,16,0.9422557611723203,0.6447352667649587,529.5283813476562,3045.198486328125,0.44108566641807556,0.8075168132781982
16,17,0.9382384912172953,0.6518173515796661,601.7103881835938,3140.66943359375,0.45740509033203125,0.8030239343643188
17,18,0.9321243202578914,0.6584490338961283,756.9343872070312,3396.68212890625,0.49307429790496826,0.7899821996688843
18,19,0.9237689982556008,0.6543576021989187,1026.84619140625,4038.830078125,0.5158284306526184,0.7857460975646973
19,20,0.9147823581072662,0.6429441670576731,1505.11865234375,5458.8076171875,0.5483180284500122,0.7766929864883423
20,21,0.9196383878454432,0.6558174788951874,1761.993896484375,6043.46484375,0.5341473817825317,0.770719587802887
21,22,0.92164799629031,0.7630990842978159,2519.67724609375,7524.05810546875,0.5663180351257324,0.7475492358207703
22,23,0.9315931430808059,0.7460095485051473,3190.970703125,10969.197265625,0.5244870781898499,0.7453243732452393
23,24,0.9309673676619659,0.7524381577968597,4164.771484375,14581.3955078125,0.5271022915840149,0.744533121585846
24,25,0.9437447109093537,0.8242799739042918,6428.63916015625,18331.66796875,0.5570005178451538,0.7231388688087463
25,26,0.9333162531337222,0.8251427213350931,8508.83984375,20718.361328125,0.5743691325187683,0.7295593023300171
26,27,0.9452704509743699,0.8560344874858856,10683.8173828125,26377.43359375,0.5723438858985901,0.7306268215179443
27,28,0.8505867327011384,0.7822818358739217,731.7562866210938,1526.0975341796875,0.7595555186271667,0.7968026399612427
